SampleID,gas,avg_ppm,sd_ppm,avg_ppm_reference,sd_ppm_reference,water_uM,water_uM_sd,water_uatm,water_uatm_sd,n
ANDA1-WR1,ch4,2.8058236073280134,0.024527914575154873,2.25804163258179,0.08037647471971412,0.0263695472385527,0.0032852061561248523,18.5890855017819,2.3158902795987824,3
ANDA1-WR1,co2,6004.881317735987,80.22561633121595,558.196115682625,23.109453299454433,423.407625497064,3.441910667502015,12662.7526335767,102.936415748963,3
ANDA1-WR1,n2o,0.4685830041988143,0.007532842320707277,0.340283969087782,0.005083639639909533,0.0166389336471677,2.83520268039497e-4,0.684222947905571,0.011658864546405837,3
ANDA1-WR2,ch4,2.822540475945727,0.034413259524466326,2.25804163258179,0.08037647471971412,0.0270765250529471,0.0032852061561248523,19.0874661118375,2.3158902795987824,3
ANDA1-WR2,co2,6000.502936032437,65.97703777114158,558.196115682625,23.109453299454433,423.082268028989,2.830605491108148,12653.0222440239,84.65425509299232,3
ANDA1-WR2,n2o,0.46142705680293566,0.0063578829879624744,0.340283969087782,0.005083639639909533,0.0161724321941991,2.392972814465637e-4,0.665039567160093,0.00984033561339601,3
ANDA1-WR3,ch4,2.76556516605377,0.020746843981579798,2.25804163258179,0.08037647471971412,0.0246669661228026,0.0032852061561248523,17.3888591327782,2.3158902795987824,3
ANDA1-WR3,co2,5872.8112210654135,67.74461841820253,558.196115682625,23.109453299454433,413.593498915477,2.9064398064180033,12369.2438497627,86.9222141898036,3
ANDA1-WR3,n2o,0.44709363757785464,0.001822645314040696,0.340283969087782,0.005083639639909533,0.0152380260946856,2.0778224348342664e-4,0.626615103819623,0.00854438043767689,3
ANDA2-WR1,ch4,3.2617047933369365,0.06494664479651742,2.10394921025358,0.07282303780402123,0.0519475256631857,0.0029764765490866295,36.6201583752322,2.0982528279487007,3
ANDA2-WR1,co2,1435.4206724562034,17.889183721062658,550.458287367797,23.907360893069004,84.1673507801666,0.9771591682329036,2517.17323584226,29.223670254967246,3
ANDA2-WR1,n2o,0.3680110727261213,0.008619748431014235,0.340019069008354,0.006937441927849713,0.0100934029486039,3.244291173965143e-4,0.415058925429884,0.01334111018161503,3
ANDA2-WR2,ch4,3.2143157295226534,0.0397339185185327,2.10394921025358,0.07282303780402123,0.049943381374696,0.0029764765490866295,35.2073464979704,2.0982528279487007,3
ANDA2-WR2,co2,1401.1777701331066,16.327887422809326,550.458287367797,23.907360893069004,81.6227613053968,0.9771591682329036,2441.07279472435,29.223670254967246,3
ANDA2-WR2,n2o,0.368943605754189,0.004469875844561409,0.340019069008354,0.006937441927849713,0.0101541954598492,2.8355220863575094e-4,0.417558823087804,0.011660178001305654,3
ANDA2-WR3,ch4,3.25239547712488,0.05011610370406029,2.10394921025358,0.07282303780402123,0.0515538227407297,0.0029764765490866295,36.3426193935566,2.0982528279487007,3
ANDA2-WR3,co2,1479.95717722675,12.019509709437864,550.458287367797,23.907360893069004,87.4768576733872,0.9771591682329036,2616.14988294155,29.223670254967246,3
ANDA2-WR3,n2o,0.38340227622505635,0.00487634791128313,0.340019069008354,0.006937441927849713,0.0110967667798309,2.8355220863575094e-4,0.456319055014017,0.011660178001305654,3
ANDA3-WR1,ch4,2.6039624100796934,0.06316520061936289,2.17261002544343,0.07633221553199762,0.0213244015374163,0.003119906231902224,15.0325343043364,2.199362893026135,3
ANDA3-WR1,co2,650.708892920771,11.765069466076866,594.577799356485,17.126575698336964,24.0521471059204,0.700009948355135,719.321927069972,20.9350334837684,3
ANDA3-WR1,n2o,0.32764546474409867,0.007028408405663416,0.327786386478084,0.006293831661800079,0.00796192255530053,2.645344413471848e-4,0.327408609067379,0.010878133125552449,3
ANDA3-WR2,ch4,2.6032176477094566,0.043658352398066626,2.17261002544343,0.07633221553199762,0.0212929045815693,0.003119906231902224,15.0103306767962,2.199362893026135,3
ANDA3-WR2,co2,587.6599438065067,14.145273710885768,594.577799356485,17.126575698336964,19.3669807961931,0.700009948355135,579.203756175915,20.9350334837684,3
ANDA3-WR2,n2o,0.3206351412476223,0.0024821243489560577,0.327786386478084,0.006293831661800079,0.00750491443101373,2.5724609835230496e-4,0.308615611111676,0.010578423322325229,3
ANDA3-WR3,ch4,2.5900157336736633,0.03695427098768959,2.17261002544343,0.07633221553199762,0.0207345787046189,0.003119906231902224,14.616741535102,2.199362893026135,3
ANDA3-WR3,co2,554.3914839708274,8.365407195236092,594.577799356485,17.126575698336964,16.8948021256786,0.700009948355135,505.26888801198,20.9350334837684,3
ANDA3-WR3,n2o,0.3312030321164963,0.006520489193255466,0.327786386478084,0.006293831661800079,0.00819384297847368,2.5724609835230496e-4,0.336945594969721,0.010578423322325229,3
ANDA7-WR1,ch4,2.7244427969810334,0.10983857799926676,2.19090065770057,0.08276495366313595,0.0256720835032048,0.0033828298172280122,18.0974117959923,2.3847096099735734,3
ANDA7-WR1,co2,840.8709858405217,26.66895664456956,539.462808177743,33.68226383589128,40.4357892112676,1.3766861621109558,1209.30367214013,41.17223043494772,3
ANDA7-WR1,n2o,0.359914558571015,0.012878218268583846,0.33191546778952,0.010435045319660588,0.00989680158504047,4.8470892392676483e-4,0.406974322931181,0.019932104775341925,3
ANDA7-WR2,ch4,2.73124958150955,0.048484018648914634,2.19090065770057,0.08276495366313595,0.0259599511510923,0.0033828298172280122,18.3003427098744,2.3847096099735734,3
ANDA7-WR2,co2,813.557025751935,10.47863434222256,539.462808177743,33.68226383589128,38.4060893131716,1.3766861621109558,1148.60191293158,41.17223043494772,3
