Model:	LI-7810
SN:	TG10-01932
Software Version:	2.3.8
Timestamp:	2024-12-12 12:00:59
Timezone:	Etc/UTC
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1734004888	144622087	19354	256	""	2024-12-12	12:01:28	11673.966	986.8559	2805.823	39.5887	55.001	25.5067	35.1391	0	12.27	54.5005	40	0.172303	23.7192	145
DATA	1734004889	144622087	19358	275	""	2024-12-12	12:01:29	11105.235	1237.9731	2654.9595	39.5891	55.001	25.5063	35.1391	0.0210936	12.271	54.5005	-8.5	0.172303	23.7199	  9
DATA	1734004890	144622087	19362	19	""	2024-12-12	12:01:30	11751.889	1096.1288	2843.8625	39.5895	55.001	25.5055	35.1391	0.00668161	12.2713	54.5005	37	0.172303	23.7215	215
DATA	1734004891	144294977	19366	19	""	2024-12-12	12:01:31	11693.238	1003.5596	2811.4189	39.5895	55.001	25.5055	35.1391	0.00208544	12.2715	54.5005	-5.75	0.172303	23.7215	104
DATA	1734004892	144294977	19370	18	""	2024-12-12	12:01:32	11686.715	999.60535	2807.5701	39.5887	55.001	25.5055	35.1391	0.00203729	12.2722	54.5005	-41.75	0.172303	23.7223	161
DATA	1734004893	144294977	19374	18	""	2024-12-12	12:01:33	11673.851	993.24786	2806.8193	39.5891	55.001	25.5042	35.1391	0.00204057	12.2717	54.5007	17.25	0.172303	23.7227	122
DATA	1734004894	144294977	19378	16	""	2024-12-12	12:01:34	11654.947	983.06366	2806.7749	39.5899	55.001	25.5055	35.1391	0.00203649	12.2722	54.5007	-54.75	0.172303	23.7223	191
DATA	1734004895	144294977	19382	16	""	2024-12-12	12:01:35	11642.581	979.6394	2806.5442	39.5895	55.001	25.5042	35.1391	0.00203795	12.2724	54.5009	-29	0.172303	23.7223	227
DATA	1734004896	144294977	19386	16	""	2024-12-12	12:01:36	11648.016	983.80377	2806.7524	39.5891	55.001	25.503	35.1391	0.00203698	12.2715	54.5011	22	0.172303	23.7219	174
DATA	1734004897	144294977	19390	16	""	2024-12-12	12:01:37	11651.4	984.74908	2806.4592	39.5895	55.001	25.5038	35.1391	0.00203967	12.2715	54.5007	-68.75	0.172303	23.7231	 83
DATA	1734004898	144020080	19394	16	""	2024-12-12	12:01:38	11638.724	977.34601	2806.9031	39.5891	55.001	25.5013	35.1391	0.00203553	12.2726	54.5011	26.25	0.172303	23.7235	 77
DATA	1734004899	144020080	19398	16	""	2024-12-12	12:01:39	11624.787	971.61292	2806.8513	39.5887	55.001	25.5026	35.1391	0.00202978	12.2722	54.5005	-3.25	0.172303	23.7239	105
DATA	1734004900	144020080	19402	16	""	2024-12-12	12:01:40	11622.909	971.77008	2806.7109	39.5887	55.001	25.5026	35.1391	0.00203295	12.2721	54.5005	59.75	0.172303	23.7223	 66
DATA	1734004901	144020080	19406	16	""	2024-12-12	12:01:41	11627.53	974.81335	2806.9827	39.5891	55.001	25.5026	35.1391	0.00203274	12.2719	54.5005	-16.25	0.172303	23.7227	 65
DATA	1734004902	144020080	19410	16	""	2024-12-12	12:01:42	11632.417	976.02716	2807.0508	39.5899	55.001	25.5038	35.1391	0.00202998	12.2719	54.5005	-25.25	0.172303	23.7223	115
DATA	1734004903	144020080	19414	16	""	2024-12-12	12:01:43	11637.961	977.22833	2807.1267	39.5887	55.001	25.5046	35.1391	0.00204827	12.2722	54.5005	-71.75	0.172303	23.7227	129
DATA	1734004904	144020080	19418	16	""	2024-12-12	12:01:44	11643.91	977.25	2807.5186	39.5883	55.001	25.503	35.1391	0.00203733	12.2718	54.5005	9.75	0.172303	23.7227	 32
DATA	1734004905	144020080	19422	16	""	2024-12-12	12:01:45	11639.327	976.64819	2807.6631	39.5887	55.001	25.5017	35.1391	0.00205008	12.2717	54.5005	-27.75	0.172303	23.7215	131
DATA	1734004906	143744945	19426	16	""	2024-12-12	12:01:46	11647.848	980.09515	2807.7188	39.5883	55.0008	25.503	35.1391	0.00203625	12.272	54.5005	-28.5	0.172303	23.7219	 58
DATA	1734004907	143744945	19430	16	""	2024-12-12	12:01:47	11642.097	975.76349	2807.98	39.5895	55.0008	25.5034	35.1391	0.00204173	12.2719	54.5005	-44.25	0.172303	23.7219	114
DATA	1734004908	143744945	19434	16	""	2024-12-12	12:01:48	11627.348	971.48871	2808.1582	39.5895	55.001	25.5026	35.1391	0.00203579	12.2716	54.5005	-57.75	0.172303	23.7215	170
DATA	1734004909	143744945	19438	16	""	2024-12-12	12:01:49	11635.382	974.47876	2808.0959	39.5883	55.001	25.5009	35.1391	0.00204492	12.2722	54.5005	-33.75	0.172303	23.7219	175
DATA	1734004910	143744945	19442	16	""	2024-12-12	12:01:50	11647.529	976.1651	2808.167	39.5895	55.001	25.5009	35.1391	0.00204632	12.2718	54.5005	-9	0.172303	23.7223	 94
DATA	1734004911	143744945	19446	16	""	2024-12-12	12:01:51	11663.328	977.70245	2808.572	39.5895	55.001	25.5005	35.1391	0.00204867	12.272	54.5005	-25	0.172303	23.7219	151
DATA	1734004912	143744945	19450	16	""	2024-12-12	12:01:52	11678.735	980.44165	2808.8174	39.5891	55.001	25.4997	35.1391	0.00205153	12.272	54.5005	0.25	0.172303	23.7223	254
DATA	1734004913	143460988	19454	16	""	2024-12-12	12:01:53	11680.73	979.70453	2808.6626	39.5883	55.001	25.5005	35.1391	0.0020543	12.2719	54.5005	-23	0.172303	23.7219	151
DATA	1734004914	143460988	19458	16	""	2024-12-12	12:01:54	11672.433	978.46674	2809.0496	39.5887	55.0006	25.498	35.1391	0.00205204	12.2715	54.5005	10.5	0.172303	23.7223	 65
DATA	1734004915	143460988	19462	16	""	2024-12-12	12:01:55	11687.566	982.32202	2809.2688	39.5895	55.001	25.4993	35.1391	0.0020578	12.2719	54.5005	30.75	0.172303	23.7219	 82
DATA	1734004916	143460988	19466	16	""	2024-12-12	12:01:56	11723.824	986.45404	2809.78	39.5891	55.0008	25.5017	35.1391	0.00205938	12.2716	54.5005	-51.25	0.172303	23.7219	115
DATA	1734004917	143460988	19470	16	""	2024-12-12	12:01:57	11737.394	987.6925	2810.155	39.5879	55.001	25.5001	35.1391	0.00206085	12.2717	54.5005	-87.75	0.172303	23.7227	 65
DATA	1734004918	143460988	19474	16	""	2024-12-12	12:01:58	11735.967	986.16284	2810.0239	39.5891	55.001	25.4972	35.1391	0.00206609	12.2713	54.5005	-19.75	0.172303	23.7215	172
DATA	1734004919	143460988	19478	16	""	2024-12-12	12:01:59	11730.566	984.9787	2809.8862	39.5891	55.001	25.4976	35.1391	0.0020649	12.2716	54.5005	12.25	0.172303	23.7227	 49
DATA	1734004920	143460988	19482	16	""	2024-12-12	12:02:00	11722.035	982.94635	2809.5564	39.5891	55.001	25.4984	35.1391	0.00206049	12.2717	54.5005	-36.25	0.172303	23.7219	153
DATA	1734004921	143193006	19486	16	""	2024-12-12	12:02:01	11719.697	982.27997	2809.7483	39.5891	55.001	25.4972	35.1391	0.00206024	12.2715	54.5005	-13	0.172303	23.7223	  1
DATA	1734004922	143193006	19490	16	""	2024-12-12	12:02:02	11723.297	984.57843	2809.8242	39.5891	55.001	25.4976	35.1391	0.00206523	12.2714	54.5005	-39.75	0.172303	23.7223	147
DATA	1734004923	143193006	19494	16	""	2024-12-12	12:02:03	11722.758	984.53735	2809.7163	39.5887	55.001	25.4968	35.1391	0.00206492	12.2715	54.5005	-22	0.172303	23.7223	  1
DATA	1734004924	143193006	19498	16	""	2024-12-12	12:02:04	11706.13	981.42126	2809.5571	39.5891	55.001	25.496	35.1391	0.00206169	12.2721	54.5005	-20.75	0.172303	23.7215	 25
DATA	1734004925	143193006	19502	16	""	2024-12-12	12:02:05	11697.581	981.06757	2809.2261	39.5883	55.001	25.4955	35.1391	0.00206027	12.2716	54.5005	-72.75	0.172303	23.7211	136
DATA	1734004926	143193006	19506	16	""	2024-12-12	12:02:06	11690.014	978.91925	2809.3076	39.5895	55.001	25.4943	35.1391	0.00206602	12.2715	54.5005	2.5	0.172303	23.7223	240
DATA	1734004927	143193006	19510	16	""	2024-12-12	12:02:07	11696.786	980.64954	2809.4075	39.5891	55.001	25.496	35.1391	0.0020676	12.2712	54.5005	-27.25	0.172303	23.7223	 49
DATA	1734004928	142914056	19514	16	""	2024-12-12	12:02:08	11706.065	982.3385	2809.5215	39.5895	55.001	25.4964	35.1391	0.00207097	12.2717	54.5005	-40.25	0.172303	23.7219	 97
DATA	1734004929	142914056	19518	16	""	2024-12-12	12:02:09	11714.671	982.9953	2809.8489	39.5891	55.001	25.4931	35.1391	0.00207393	12.2718	54.5005	29	0.172303	23.7223	182
DATA	1734004930	142914056	19522	16	""	2024-12-12	12:02:10	11681.05	976.49518	2809.1357	39.5883	55.001	25.4939	35.1391	0.00206632	12.2718	54.5005	4.5	0.172303	23.7215	195
DATA	1734004931	142914056	19526	16	""	2024-12-12	12:02:11	11667.673	976.20142	2809.0066	39.5899	55.001	25.4939	35.1391	0.00206465	12.272	54.5005	-29.25	0.172303	23.7223	 91
DATA	1734004932	142914056	19530	16	""	2024-12-12	12:02:12	11677.34	977.49152	2809.3145	39.5895	55.001	25.4935	35.1391	0.00206445	12.2715	54.5005	-46	0.172303	23.7223	194
DATA	1734004933	142914056	19534	16	""	2024-12-12	12:02:13	11679.668	977.57715	2809.2844	39.5891	55.001	25.4918	35.1391	0.00207203	12.2714	54.5005	17.25	0.172303	23.7223	107
DATA	1734004934	142914056	19538	16	""	2024-12-12	12:02:14	11675.504	976.31525	2809.397	39.5899	55.001	25.4931	35.1391	0.00206661	12.272	54.5005	-16.75	0.172303	23.7231	 48
DATA	1734004935	142914056	19542	16	""	2024-12-12	12:02:15	11652.513	972.1181	2809.103	39.5883	55.001	25.4931	35.1391	0.00206396	12.2723	54.5005	-30.5	0.172303	23.7231	214
DATA	1734004936	142642021	19546	16	""	2024-12-12	12:02:16	11659.483	974.85956	2809.0366	39.5887	55.001	25.4926	35.1391	0.00206254	12.2721	54.5005	-86.25	0.172303	23.7223	159
DATA	1734004937	142642021	19550	16	""	2024-12-12	12:02:17	11664.139	975.14734	2809.0063	39.5891	55.001	25.4914	35.1391	0.00206997	12.272	54.5005	-30.75	0.172303	23.7219	 87
DATA	1734004938	142642021	19554	16	""	2024-12-12	12:02:18	11664.289	975.83215	2809.0476	39.5883	55.001	25.4906	35.1391	0.002065	12.2718	54.5005	52.75	0.172303	23.7215	  3
DATA	1734004939	142642021	19558	16	""	2024-12-12	12:02:19	11661.363	975.11407	2809.0027	39.5899	55.001	25.491	35.1391	0.00206999	12.2722	54.5005	-5.25	0.172303	23.7215	 42
